<strong>ID</strong><strong>	ORF</strong><strong>	RANGE_GB</strong><strong>	GeneSymbol</strong><strong>	GeneType</strong><strong>	RANGE_START</strong><strong>	RANGE_END</strong><strong>	RANGE_STRAND</strong>
4533	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31720[gene]">BSU31720</a>	AL009126.3	degQ		3257092	3257232	-1
4534	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1216	5'UTR	3257233	3257319	-1
4535	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1217	3'UTR	3257607	3258036	-1
4536	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31730[gene]">BSU31730</a>	AL009126.3	yuzC		3257693	3258061	1
4537	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31740[gene]">BSU31740</a>	AL009126.3	yuxH		3258037	3259266	-1
4538	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1218	3'UTR	3258062	3259375	1
4539	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31750[gene]">BSU31750</a>	AL009126.3	pncB		3259403	3260875	-1
4540	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31760[gene]">BSU31760</a>	AL009126.3	pncA		3260891	3261442	-1
4541	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31770[gene]">BSU31770</a>	AL009126.3	yueI		3261539	3261937	-1
4542	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1219	Intra	3261938	3262008	-1
4543	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31780[gene]">BSU31780</a>	AL009126.3	yueH		3262009	3262257	-1
4544	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31790[gene]">BSU31790</a>	AL009126.3	yueG		3262330	3262551	-1
4545	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31800[gene]">BSU31800</a>	AL009126.3	yueF		3262611	3263720	-1
4546	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1220	5'UTR	3263403	3263797	1
4547	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1221	Inter	3263786	3264226	-1
4548	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31810[gene]">BSU31810</a>	AL009126.3	yuzE		3263835	3264224	1
4549	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31820[gene]">BSU31820</a>	AL009126.3	yuzF		3264265	3264501	-1
4550	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1222	Inter	3264537	3264677	-1
4551	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31830[gene]">BSU31830</a>	AL009126.3	yueE		3264678	3265208	-1
4552	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1223	5'UTR	3265241	3265327	-1
4553	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31840[gene]">BSU31840</a>	AL009126.3	yueD		3265406	3266137	-1
4554	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31850[gene]">BSU31850</a>	AL009126.3	yueC		3266200	3266655	-1
4555	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1224	Indep-NT	3266637	3269004	1
4556	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31860[gene]">BSU31860</a>	AL009126.3	yueB		3266687	3269917	-1
4557	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31875[gene]">BSU31875</a>	AL009126.3	yukB		3269914	3274401	-1
4558	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1225	Indep-NT	3273703	3274665	1
4559	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31890[gene]">BSU31890</a>	AL009126.3	yukC		3274462	3275817	-1
4560	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31900[gene]">BSU31900</a>	AL009126.3	yukD		3275832	3276071	-1
4561	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31910[gene]">BSU31910</a>	AL009126.3	yukE		3276141	3276434	-1
4562	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1226	5'UTR	3276435	3276513	-1
4563	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1227	Indep-NT	3276604	3276710	1
4564	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31920[gene]">BSU31920</a>	AL009126.3	yukF		3276955	3278223	1
4565	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31930[gene]">BSU31930</a>	AL009126.3	ald		3278325	3279461	1
4566	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31945[gene]">BSU31945</a>	AL009126.3	yukJ		3279573	3280250	1
4567	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31959[gene]">BSU31959</a>	AL009126.3	ybdZ		3280294	3280503	-1
4568	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31960[gene]">BSU31960</a>	AL009126.3	dhbF		3280519	3287655	-1
4569	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31970[gene]">BSU31970</a>	AL009126.3	dhbB		3287675	3288613	-1
4570	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31980[gene]">BSU31980</a>	AL009126.3	dhbE		3288641	3290260	-1
4571	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU31990[gene]">BSU31990</a>	AL009126.3	dhbC		3290289	3291485	-1
4572	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32000[gene]">BSU32000</a>	AL009126.3	dhbA		3291511	3292296	-1
4573	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1228	5'UTR	3292297	3292406	-1
4574	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1229	Inter	3292408	3292489	-1
4575	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32010[gene]">BSU32010</a>	AL009126.3	besA		3292490	3293359	-1
4576	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1230	5'UTR	3293360	3293440	-1
4577	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32020[gene]">BSU32020</a>	AL009126.3	yuiH		3293573	3294169	-1
4578	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1231	5'UTR	3294170	3294254	-1
4579	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32030[gene]">BSU32030</a>	AL009126.3	bioYB		3294270	3294872	1
4580	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32040[gene]">BSU32040</a>	AL009126.3	yuiF		3294942	3296270	-1
4581	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32050[gene]">BSU32050</a>	AL009126.3	pepA		3296417	3297919	-1
4582	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1232	5'UTR	3297920	3297994	-1
4583	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1233	5'UTR	3297962	3298076	1
4584	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32060[gene]">BSU32060</a>	AL009126.3	yuiD		3298077	3298553	1
4585	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32070[gene]">BSU32070</a>	AL009126.3	yuiC		3298584	3299240	-1
4586	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1234	Indep	3298930	3299376	1
4587	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32080[gene]">BSU32080</a>	AL009126.3	yuiB		3299344	3299664	-1
4588	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1235	Inter	3299378	3299588	1
4589	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1236	Indep	3299590	3299699	1
4590	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1237	3'PT	3299701	3300252	1
4591	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32090[gene]">BSU32090</a>	AL009126.3	yuiA		3299718	3299861	-1
4592	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32100[gene]">BSU32100</a>	AL009126.3	yumB		3300034	3301254	-1
4593	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1238	5'UTR	3301255	3301382	-1
4594	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1239	5'UTR	3301384	3301448	-1
4595	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32110[gene]">BSU32110</a>	AL009126.3	yumC		3301586	3302584	1
4596	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32120[gene]">BSU32120</a>	AL009126.3	yuzG		3302623	3302763	-1
4597	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1240	5'UTR	3302764	3302893	-1
4598	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1241	5'UTR	3302895	3303142	-1
4599	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32130[gene]">BSU32130</a>	AL009126.3	guaC		3303042	3304022	1
4600	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32140[gene]">BSU32140</a>	AL009126.3	paiB		3304096	3304719	-1
4601	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32150[gene]">BSU32150</a>	AL009126.3	paiA		3304743	3305261	-1
4602	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1242	5'UTR	3305322	3305430	-1
4603	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32160[gene]">BSU32160</a>	AL009126.3	yutM		3305599	3305961	-1
4604	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32170[gene]">BSU32170</a>	AL009126.3	dapF		3306040	3306894	-1
4605	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32180[gene]">BSU32180</a>	AL009126.3	yutK		3307017	3308231	-1
4606	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1243	Indep	3307598	3308367	1
4607	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32190[gene]">BSU32190</a>	AL009126.3	yuzB		3308368	3308604	-1
4608	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1244	Inter	3308369	3308785	1
4609	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32200[gene]">BSU32200</a>	AL009126.3	yutJ		3308867	3309934	1
4610	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32210[gene]">BSU32210</a>	AL009126.3	yuzD		3309960	3310286	-1
4611	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32220[gene]">BSU32220</a>	AL009126.3	yutI		3310386	3310721	1
4612	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32230[gene]">BSU32230</a>	AL009126.3	yuxL		3310763	3312736	-1
4613	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32240[gene]">BSU32240</a>	AL009126.3	thrB		3312844	3313773	-1
4614	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32250[gene]">BSU32250</a>	AL009126.3	thrC		3313770	3314828	-1
4615	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32260[gene]">BSU32260</a>	AL009126.3	hom		3314828	3316129	-1
4616	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1245	5'UTR	3316130	3316211	-1
4617	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1246	Inter	3316213	3316329	-1
4618	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32270[gene]">BSU32270</a>	AL009126.3	yutH		3316330	3317349	-1
4619	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1247	5'UTR	3317409	3317473	1
4620	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32280[gene]">BSU32280</a>	AL009126.3	yutG		3317502	3318002	1
4621	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32290[gene]">BSU32290</a>	AL009126.3	yutF		3318029	3318799	-1
4622	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32300[gene]">BSU32300</a>	AL009126.3	yutE		3318828	3319262	-1
4623	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32310[gene]">BSU32310</a>	AL009126.3	yutD		3319286	3319561	-1
4624	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1248	Inter	3319608	3320300	-1
4625	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32320[gene]">BSU32320</a>	AL009126.3	yutC		3319676	3320308	1
4626	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32330[gene]">BSU32330</a>	AL009126.3	lipA		3320324	3321220	-1
4627	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1249	5'UTR	3321221	3321355	-1
4628	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32340[gene]">BSU32340</a>	AL009126.3	lytH		3321455	3322435	1
4629	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32350[gene]">BSU32350</a>	AL009126.3	yunB		3322463	3323227	-1
4630	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32360[gene]">BSU32360</a>	AL009126.3	yunC		3323300	3323605	-1
4631	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32370[gene]">BSU32370</a>	AL009126.3	yunD		3323670	3325058	-1
4632	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32380[gene]">BSU32380</a>	AL009126.3	yunE		3325078	3325899	-1
4633	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32390[gene]">BSU32390</a>	AL009126.3	yunF		3325917	3326765	-1
4634	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32400[gene]">BSU32400</a>	AL009126.3	yunG		3326803	3327150	-1
4635	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32410[gene]">BSU32410</a>	AL009126.3	pucH		3327247	3328587	-1
4636	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1250	5'UTR	3328673	3328761	1
4637	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32420[gene]">BSU32420</a>	AL009126.3	pucR		3328762	3330357	1
4638	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32430[gene]">BSU32430</a>	AL009126.3	pucJ		3330502	3331851	1
4639	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32440[gene]">BSU32440</a>	AL009126.3	pucK		3331857	3333149	1
4640	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32450[gene]">BSU32450</a>	AL009126.3	pucL		3333162	3334646	1
4641	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32460[gene]">BSU32460</a>	AL009126.3	pucM		3334646	3334990	1
4642	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1251	Indep-NT	3335006	3335393	-1
4643	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32469[gene]">BSU32469</a>	AL009126.3	yuzJ		3335414	3335545	1
4644	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1252	3'UTR	3335546	3335614	1
4645	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32470[gene]">BSU32470</a>	AL009126.3	pucE		3335751	3336272	-1
4646	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32480[gene]">BSU32480</a>	AL009126.3	pucD		3336263	3338500	-1
4647	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32490[gene]">BSU32490</a>	AL009126.3	pucC		3338501	3339334	-1
4648	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32500[gene]">BSU32500</a>	AL009126.3	pucB		3339331	3339948	-1
4649	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32510[gene]">BSU32510</a>	AL009126.3	pucA		3339945	3340937	-1
4650	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1253	5'UTR	3340938	3341024	-1
4651	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32520[gene]">BSU32520</a>	AL009126.3	pucG		3341166	3342416	-1
4652	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32530[gene]">BSU32530</a>	AL009126.3	pucF		3342433	3343671	-1
4653	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32540[gene]">BSU32540</a>	AL009126.3	bsn		3344113	3344979	1
4654	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32550[gene]">BSU32550</a>	AL009126.3	yurJ		3345013	3346116	-1
4655	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1254	Inter	3346117	3347050	-1
4656	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32560[gene]">BSU32560</a>	AL009126.3	frlR		3346298	3347026	1
4657	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32570[gene]">BSU32570</a>	AL009126.3	frlD		3347051	3347905	-1
4658	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32580[gene]">BSU32580</a>	AL009126.3	frlM		3347919	3348821	-1
4659	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32590[gene]">BSU32590</a>	AL009126.3	frlN		3348825	3349703	-1
4660	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32600[gene]">BSU32600</a>	AL009126.3	frlO		3349761	3351029	-1
4661	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32610[gene]">BSU32610</a>	AL009126.3	frlB		3351110	3352096	-1
4662	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32620[gene]">BSU32620</a>	AL009126.3	yurQ		3352312	3352686	-1
4663	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32630[gene]">BSU32630</a>	AL009126.3	yurR		3352789	3353907	-1
4664	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1255	Inter	3353940	3354550	-1
4665	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32640[gene]">BSU32640</a>	AL009126.3	sspG		3354066	3354212	1
4666	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32650[gene]">BSU32650</a>	AL009126.3	yurS		3354212	3354487	1
4667	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32660[gene]">BSU32660</a>	AL009126.3	yurT		3354551	3354934	-1
4668	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1256	Intra	3354935	3355044	-1
4669	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32669[gene]">BSU32669</a>	AL009126.3	yuzN		3355045	3355323	-1
4670	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1257	3'UTR	3355486	3355592	-1
4671	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32670[gene]">BSU32670</a>	AL009126.3	sufB		3355593	3356990	-1
4672	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32680[gene]">BSU32680</a>	AL009126.3	iscU		3357011	3357454	-1
4673	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32690[gene]">BSU32690</a>	AL009126.3	sufS		3357444	3358664	-1
4674	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32700[gene]">BSU32700</a>	AL009126.3	sufD		3358664	3359977	-1
4675	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32710[gene]">BSU32710</a>	AL009126.3	sufC		3359995	3360780	-1
4676	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1258	Inter	3360892	3360973	-1
4677	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32719[gene]">BSU32719</a>	AL009126.3	yuzK		3360974	3361111	-1
4678	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1259	5'UTR	3361112	3361196	-1
4679	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1260	Inter	3361198	3361304	-1
4680	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32720[gene]">BSU32720</a>	AL009126.3	yurZ		3361305	3361682	-1
4681	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32730[gene]">BSU32730</a>	AL009126.3	metN		3361767	3362591	-1
4682	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32740[gene]">BSU32740</a>	AL009126.3	metP		3362605	3363273	-1
4683	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32750[gene]">BSU32750</a>	AL009126.3	metQ		3363266	3364291	-1
4684	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1261	Intra	3364292	3364396	-1
4685	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3			3364397	3364503	-1
4686	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1262	Inter	3364544	3364617	-1
4687	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32760[gene]">BSU32760</a>	AL009126.3	yusD		3364618	3364962	-1
4688	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1263	Intra	3364963	3365068	-1
4689	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32770[gene]">BSU32770</a>	AL009126.3	yusE		3365069	3365389	-1
4690	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32780[gene]">BSU32780</a>	AL009126.3	yusF		3365391	3365831	-1
4691	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32790[gene]">BSU32790</a>	AL009126.3	yusG		3365831	3366067	-1
4692	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32800[gene]">BSU32800</a>	AL009126.3	yusH		3366123	3366506	-1
4693	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32810[gene]">BSU32810</a>	AL009126.3	yusI		3366573	3366929	-1
4694	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32820[gene]">BSU32820</a>	AL009126.3	fadE		3367040	3368824	-1
4695	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32830[gene]">BSU32830</a>	AL009126.3	fadA		3368839	3370014	-1
4696	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32840[gene]">BSU32840</a>	AL009126.3	fadN		3370025	3372472	-1
4697	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1264	Inter	3372473	3372739	-1
4698	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32849[gene]">BSU32849</a>	AL009126.3	yuzL		3372569	3372715	1
4699	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1265	Inter	3372716	3373742	1
4700	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32850[gene]">BSU32850</a>	AL009126.3	fadM		3372740	3373648	-1
4701	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1266	5'UTR	3373649	3374171	-1
4702	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32859[gene]">BSU32859</a>	AL009126.3	yuzM		3373743	3373988	1
4703	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32860[gene]">BSU32860</a>	AL009126.3	yusN		3374001	3374333	1
4704	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32870[gene]">BSU32870</a>	AL009126.3	yusO		3374492	3374959	1
4705	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32880[gene]">BSU32880</a>	AL009126.3	yusP		3374956	3376581	1
4706	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32890[gene]">BSU32890</a>	AL009126.3	yusQ		3376617	3377000	-1
4707	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32900[gene]">BSU32900</a>	AL009126.3	yusR		3377019	3377408	-1
4708	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32910[gene]">BSU32910</a>	AL009126.3	yusS		3377430	3377759	-1
4709	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32920[gene]">BSU32920</a>	AL009126.3	yusT		3377893	3378780	1
4710	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32930[gene]">BSU32930</a>	AL009126.3	yusU		3378800	3379087	-1
4711	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32940[gene]">BSU32940</a>	AL009126.3	yusV		3379112	3379939	-1
4712	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1267	5'UTR	3379940	3380077	-1
4713	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32950[gene]">BSU32950</a>	AL009126.3	yusW		3380157	3380594	-1
4714	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32960[gene]">BSU32960</a>	AL009126.3	yusY		3380704	3382212	-1
4715	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32970[gene]">BSU32970</a>	AL009126.3	yusY		3382209	3382499	-1
4716	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32980[gene]">BSU32980</a>	AL009126.3	yusZ		3382633	3383475	1
4717	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU32990[gene]">BSU32990</a>	AL009126.3	mrgA		3383565	3384026	1
4718	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU33000[gene]">BSU33000</a>	AL009126.3	htrB		3384070	3385446	-1
4719	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1268	5'UTR	3385447	3385618	-1
4720	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1269	Inter	3385699	3386762	-1
4721	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU33010[gene]">BSU33010</a>	AL009126.3	cssR		3385724	3386401	1
4722	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU33020[gene]">BSU33020</a>	AL009126.3	cssS		3386398	3387753	1
4723	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1270	3'NT	3386852	3387780	-1
4724	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU33029[gene]">BSU33029</a>	AL009126.3	yuzO		3387781	3387945	-1
4725	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1271	5'UTR	3388000	3388112	1
4726	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S1272	5'UTR	3388009	3388287	-1
